Model,Feature,Coefficient,Absolute Coefficient
Linear Regression,adjusted_close,-0.11000337881959238,0.11000337881959238
Linear Regression,sma_20,0.10149141582552856,0.10149141582552856
Linear Regression,sma_50,0.08363123747905246,0.08363123747905246
Linear Regression,ema_26,-0.08012619012338373,0.08012619012338373
Linear Regression,ema_12,-0.0792071535434464,0.0792071535434464
Linear Regression,low,0.0605133652703787,0.0605133652703787
Linear Regression,high,0.04747370674601054,0.04747370674601054
Linear Regression,ticker_NVDA,0.03856170788244192,0.03856170788244192
Linear Regression,fed_funds_rate,0.03767505102324877,0.03767505102324877
Linear Regression,open,-0.029852648013492883,0.029852648013492883
Linear Regression,yield_curve_10y_2y,0.024309061472344934,0.024309061472344934
Linear Regression,ticker_MPWR,0.024203143383858622,0.024203143383858622
Linear Regression,ticker_MU,0.01855009780712441,0.01855009780712441
Linear Regression,ticker_AMD,0.017939862250730864,0.017939862250730864
Linear Regression,treasury_10y,-0.016915696229574305,0.016915696229574305
Linear Regression,rd_expense,0.016090827137284693,0.016090827137284693
Linear Regression,qqq_return,-0.015447275599375532,0.015447275599375532
Linear Regression,nasdaq_return,0.01447669608007525,0.01447669608007525
Linear Regression,ticker_TXN,0.014307219183502057,0.014307219183502057
Linear Regression,ticker_ADI,0.012575277082471008,0.012575277082471008
Linear Regression,revenue,-0.012506364713102958,0.012506364713102958
Linear Regression,ticker_MCHP,0.010572192599995759,0.010572192599995759
Linear Regression,ticker_MRVL,0.008247814944134887,0.008247814944134887
Linear Regression,vix,0.008154065642351813,0.008154065642351813
Linear Regression,ticker_AVGO,0.008030610625822544,0.008030610625822544
Linear Regression,ticker_ON,0.0073182956416537465,0.0073182956416537465
Linear Regression,distance_from_sma_20,0.0073113519882664155,0.0073113519882664155
Linear Regression,gross_margin,-0.006583523128563572,0.006583523128563572
Linear Regression,previous_20_day_return,-0.0062845848584984695,0.0062845848584984695
Linear Regression,volatility_20,0.005543778891882137,0.005543778891882137
Linear Regression,free_cash_flow,0.004991023230637933,0.004991023230637933
