Model,Feature,Importance
Random Forest,copper,0.0869534695511643
Random Forest,volatility_20,0.07450846561403414
Random Forest,atr_14,0.0740895100843405
Random Forest,treasury_10y,0.06374074343254878
Random Forest,vix,0.06340247431864549
Random Forest,fed_funds_rate,0.04023667456626798
Random Forest,sma_20,0.033900403736618165
Random Forest,momentum_20,0.03200033794209459
Random Forest,previous_60_day_return,0.029515927330901713
Random Forest,yield_curve_10y_2y,0.0292053796914683
Random Forest,sma_50,0.02865306282305264
Random Forest,sp500_return,0.02734840002383622
Random Forest,open,0.02614675343296492
Random Forest,adjusted_close,0.026052656555068165
Random Forest,ema_12,0.02578334315678683
Random Forest,eps,0.025012758691628566
Random Forest,low,0.02496819663208103
Random Forest,ema_26,0.024895848192692915
Random Forest,macd_signal,0.023939077759123614
Random Forest,high,0.023240801399075157
Random Forest,macd,0.018911481241175976
Random Forest,distance_from_sma_20,0.015159605986189824
Random Forest,dxy,0.014847120471329502
Random Forest,nasdaq_return,0.014344607338238691
Random Forest,soxx_return,0.013365555722100502
Random Forest,qqq_return,0.01334279347380241
Random Forest,capex,0.01248129475782425
Random Forest,rsi_14,0.012461567009978703
Random Forest,previous_20_day_return,0.010490178550176898
Random Forest,gross_margin,0.010342116284279997
Random Forest,volume,0.010295404834524121
Random Forest,return_5d,0.010024770974322222
Random Forest,free_cash_flow,0.009944396407970783
Random Forest,debt_to_equity,0.009408196764653431
Random Forest,daily_return,0.00935378486315652
Random Forest,inventory,0.005501350219480938
Random Forest,previous_5_day_return,0.005280471890529722
Random Forest,bollinger_width,0.005023697239559304
Random Forest,revenue,0.004572481376736626
Random Forest,macd_histogram,0.004093943592059321
Random Forest,rd_expense,0.0023111710882521134
Random Forest,previous_day_return,0.002139896715833165
Random Forest,ticker_NVDA,0.001487759533002892
Random Forest,relative_volume,0.0004596171324276475
Random Forest,ticker_QCOM,0.0003253365458146253
Random Forest,ticker_MRVL,0.00026539234445960205
Random Forest,ticker_INTC,0.00017172270772641043
Random Forest,ticker_AVGO,0.0
Random Forest,ticker_AMD,0.0
Random Forest,ticker_ADI,0.0
Random Forest,ticker_MCHP,0.0
Random Forest,ticker_MU,0.0
Random Forest,ticker_MPWR,0.0
Random Forest,ticker_ON,0.0
Random Forest,ticker_TXN,0.0
XGBoost,fed_funds_rate,0.04223162680864334
XGBoost,atr_14,0.040294844657182693
XGBoost,treasury_10y,0.038059405982494354
XGBoost,bollinger_width,0.036203645169734955
XGBoost,copper,0.03489851951599121
XGBoost,yield_curve_10y_2y,0.0345100462436676
XGBoost,sma_50,0.0334048829972744
XGBoost,vix,0.03130583465099335
XGBoost,low,0.03058541752398014
XGBoost,high,0.03008304163813591
XGBoost,rsi_14,0.028568075969815254
XGBoost,adjusted_close,0.02757459692656994
XGBoost,ema_12,0.02698705904185772
XGBoost,debt_to_equity,0.02679627574980259
