Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
Linear Regression,2,0.09794400076438572,0.015049713268939766,0.07356782524131913,-0.5103974056353324,0.5385728542914171,0.12277908325195312,{'fit_intercept': False}
Linear Regression,1,0.09794400076438581,0.015049713268939799,0.07356782524131925,-0.5103974056353353,0.5385728542914171,0.11730804443359374,{'fit_intercept': True}
Ridge Regression,6,0.08535756163929728,0.011277955193369844,0.06423934202753068,-0.1296365034781389,0.5498003992015968,0.09886221885681153,{'alpha': 1000}
Ridge Regression,5,0.09260399268193534,0.01689470525845965,0.07026233501100633,-0.34136886170908093,0.5414171656686626,0.10418496131896973,{'alpha': 100}
Ridge Regression,4,0.09585904300542905,0.01567470895884259,0.07249549446219881,-0.4456446945352142,0.5380239520958083,0.09682641029357911,{'alpha': 10}
Ridge Regression,3,0.09661355013330056,0.014915393784991179,0.07270832339797131,-0.46822833350595994,0.5399700598802395,0.10240416526794434,{'alpha': 1}
Ridge Regression,2,0.0974980822301778,0.015053852123515264,0.07326073210246072,-0.49611338743840727,0.538872255489022,0.09860100746154785,{'alpha': 0.1}
Ridge Regression,1,0.09788170568362528,0.015056130657037854,0.07352554883623028,-0.5083877143608163,0.5385728542914171,0.10824375152587891,{'alpha': 0.01}
Random Forest,18,0.08087322574986022,0.007708558521004484,0.06074942504299584,-0.017730321516330895,0.5603293413173652,2.500175714492798,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,3,0.08093202838721457,0.007835465837561159,0.0607800435013513,-0.01900684414051008,0.5594810379241517,1.8212716102600097,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,21,0.08096005628568398,0.007666045418117527,0.06073050324756668,-0.02001573285812459,0.5650199600798402,7.9291294574737545,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,17,0.08113536601870189,0.007679945118141391,0.06092547439549582,-0.02459473569560955,0.556187624750499,7.934581327438354,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_samples': 0.8, 'max_features': 0.3, 'max_depth': 3}"
Random Forest,22,0.08126521470678946,0.007562611525569833,0.06091986913613402,-0.02840987825997321,0.559630738522954,8.034559535980225,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,4,0.08127867020577136,0.0076652960856136544,0.060983610330533414,-0.02833751250112604,0.5560878243512974,6.406828689575195,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.9, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,11,0.08130065387978874,0.007617734081826148,0.060927649024215845,-0.02896167507946632,0.558433133732535,7.229363012313843,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5}"
Random Forest,28,0.08132619954795843,0.0074356486281166685,0.061025804281708465,-0.029827969414488464,0.5586826347305389,9.1398344039917,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 7}"
Random Forest,12,0.08140268968671052,0.007719581182763022,0.061121112558116274,-0.031340347060751214,0.5584331337325349,9.43757243156433,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': None}"
Random Forest,8,0.08143837349330578,0.007692873913571055,0.061121174242734166,-0.032376842248275084,0.557934131736527,10.385789394378662,"{'n_estimators': 350, 'min_samples_split': 20, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': None}"
Random Forest,20,0.08161488766684241,0.007676359670021956,0.06138548458279832,-0.03686724987052179,0.5558882235528942,13.00412106513977,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 3}"
Random Forest,9,0.08189351160096035,0.007876024601904098,0.06148812691504711,-0.043659272171971186,0.5596307385229541,13.53495945930481,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 30, 'max_samples': 1.0, 'max_features': 0.3, 'max_depth': 5}"
Random Forest,24,0.08251203484762207,0.0075673248025462094,0.06185925044027004,-0.06098257748813385,0.5484530938123753,4.658073568344117,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 12}"
Random Forest,27,0.08275608254823756,0.008152465843727226,0.06225985884658549,-0.06592737598982319,0.5554890219560878,10.092170524597169,"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
Random Forest,10,0.08304316742755885,0.007720650366681772,0.06231578208334808,-0.0747672036724761,0.546506986027944,14.217486810684203,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': 0.6, 'max_features': 'sqrt', 'max_depth': 12}"
Random Forest,23,0.08307378016813627,0.007130843719823857,0.0624342352921705,-0.07578958749851539,0.541816367265469,9.550869226455688,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
Random Forest,13,0.08366145211022451,0.007834296060848404,0.06271102998468128,-0.09181721749031194,0.5514471057884232,45.50264320373535,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 0.9, 'max_features': 0.3, 'max_depth': 9}"
Random Forest,5,0.08405772204160304,0.007616816100196717,0.06312528056321429,-0.10246434210367616,0.5360279441117765,42.86424036026001,"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_features': 'sqrt', 'max_depth': None}"
Random Forest,1,0.08439353660825737,0.007798676870633629,0.06364752626787312,-0.11046897604912745,0.5392714570858284,55.743067502975464,"{'n_estimators': 350, 'min_samples_split': 15, 'min_samples_leaf': 75, 'max_samples': 0.9, 'max_features': 0.5, 'max_depth': None}"
Random Forest,14,0.08444114548144896,0.008097020420407918,0.06329072471535746,-0.11213271725635603,0.5516966067864271,71.24455800056458,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.7, 'max_depth': 7}"
Random Forest,7,0.08453161267244005,0.008766866978968212,0.06356326600609688,-0.11317490538693735,0.5503992015968063,18.674479484558105,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.7, 'max_depth': 7}"
Random Forest,16,0.08468719535960795,0.008944535802146804,0.06366880135965304,-0.1168908105708523,0.5519461077844311,65.40073800086975,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_samples': 1.0, 'max_features': 1.0, 'max_depth': 5}"
Random Forest,2,0.08494123477884728,0.009346403572017175,0.06403359686793339,-0.1249818762893998,0.5547405189620758,91.13208642005921,"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 30, 'max_samples': 0.8, 'max_features': 0.7, 'max_depth': 9}"
Random Forest,6,0.08495915745050832,0.008338325439556475,0.06377545905548836,-0.12494726395534506,0.5485029940119761,27.17969799041748,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 1.0, 'max_depth': 7}"
Random Forest,19,0.08499515453502754,0.008884109744531117,0.06389026710457493,-0.125525303678009,0.5521956087824351,48.82685933113098,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': None}"
Random Forest,15,0.08516251534049743,0.009139330120368376,0.06390802349405221,-0.1295525991985304,0.5553393213572855,109.75211763381958,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_samples': 1.0, 'max_features': 0.7, 'max_depth': 9}"
Random Forest,29,0.08516599903501387,0.008383798922063989,0.06389619153856385,-0.13175668968822132,0.5528443113772455,50.10793223381042,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 12}"
Random Forest,26,0.08605518455038547,0.00865360136004859,0.06443539986340273,-0.1560910894970502,0.5510479041916168,56.414609050750734,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.7, 'max_depth': 12}"
