Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5391716566866267,0.07508238206763124,0.05781751581429598,-0.013214710781791261
2,Training Mean Baseline,0.0,0.6102794411177644,0.08806739551033645,0.06344246706360475,-0.00036551915600790963
3,Training Mean Baseline,0.0,0.6035429141716567,0.07097664202468447,0.05282858610114785,-0.007410770645728704
4,Training Mean Baseline,0.0,0.4780439121756487,0.09022451267170593,0.07143500921621652,-0.025027618545814256
5,Training Mean Baseline,0.0,0.5731037924151696,0.07887805298363981,0.05917604922778088,-0.0056735421840234945
1,Linear Regression Default,0.04085707664489746,0.49650698602794413,0.09755141647080401,0.07829946314738809,-0.7103798091507199
2,Linear Regression Default,0.09053421020507812,0.6120259481037924,0.12311782698713089,0.0886195544636027,-0.9551059242161648
3,Linear Regression Default,0.13782191276550293,0.5573852295409182,0.08895140787607657,0.06330250065248887,-0.5822727368702985
4,Linear Regression Default,0.16397356986999512,0.5074850299401198,0.09581996144774962,0.07502243361515191,-0.156108144941564
5,Linear Regression Default,0.21210122108459473,0.5194610778443114,0.08427939104016795,0.0625951743279646,-0.14812041299792944
1,Ridge Regression Default,0.04509449005126953,0.499500998003992,0.09690137398496533,0.07775680318162995,-0.6876612217829257
2,Ridge Regression Default,0.07007288932800293,0.6120259481037924,0.12148469132796588,0.0874395244459157,-0.9035816842720956
3,Ridge Regression Default,0.10413932800292969,0.560129740518962,0.08611145620190132,0.061887100325689816,-0.48285115428632297
4,Ridge Regression Default,0.12563610076904297,0.5089820359281437,0.0944578057403582,0.07396539304173266,-0.12347181776417271
5,Ridge Regression Default,0.16601085662841797,0.5192115768463074,0.08411242341131213,0.0624927959948885,-0.14357578942428306
1,Random Forest Default,3.488809108734131,0.528692614770459,0.08054421320227437,0.060561335863731774,-0.16598802016699676
2,Random Forest Default,8.95758605003357,0.6012974051896207,0.08776537548839859,0.062370976042687216,0.0064840611764266365
3,Random Forest Default,10.301151037216187,0.5890718562874252,0.07111439830288434,0.05279435908413894,-0.01132506775751696
4,Random Forest Default,16.254915475845337,0.4912674650698603,0.09026059348488796,0.07087533296747112,-0.025847600252312475
5,Random Forest Default,21.64238405227661,0.5364271457085829,0.08185744140797713,0.061724551915307256,-0.08308113765703662
1,XGBoost Default,1.657607078552246,0.5426646706586826,0.08827484528319933,0.06560609235929926,-0.40055230151632704
2,XGBoost Default,1.9813487529754639,0.6047904191616766,0.09056253017417794,0.06289644358629412,-0.057853441822108165
3,XGBoost Default,2.271754503250122,0.5336826347305389,0.08224021878046121,0.06201421721556584,-0.3525215905539507
4,XGBoost Default,4.039897441864014,0.48228542914171657,0.10534909041341803,0.08405873216633486,-0.3974879048472537
5,XGBoost Default,4.404319763183594,0.49875249500998003,0.09142962953466843,0.06995138173042544,-0.3511967150266162
1,LightGBM Default,1.0114185810089111,0.5376746506986028,0.08578516919092939,0.06397018529468043,-0.3226648909436991
2,LightGBM Default,1.3088901042938232,0.5970558882235529,0.0927455648161275,0.06460015967095159,-0.10946781766492264
3,LightGBM Default,1.548741102218628,0.5426646706586826,0.07736556853085538,0.05831423585622718,-0.196936567537507
4,LightGBM Default,1.8424134254455566,0.48403193612774453,0.09835359449023202,0.07775417057662339,-0.21805514445219476
5,LightGBM Default,1.9969182014465332,0.530688622754491,0.09255583872229561,0.07128575392033977,-0.3846891905819225
1,CatBoost Default,4.934113502502441,0.5329341317365269,0.08429921173956484,0.06344851670432121,-0.27723975777887944
2,CatBoost Default,3.313727855682373,0.6140219560878244,0.09104337475247866,0.06360770733055911,-0.06911667557742862
3,CatBoost Default,3.7297258377075195,0.531437125748503,0.07528492393646029,0.05591453306838532,-0.13342222531022419
4,CatBoost Default,5.643373012542725,0.49575848303393216,0.0928599620652366,0.07302332191485676,-0.08578410866868524
5,CatBoost Default,5.237015962600708,0.5404191616766467,0.08691273807553636,0.06709115755672997,-0.22098836276207878
