Model,Candidate,Mean RMSE,Std RMSE,Mean MAE,Mean R2,Mean Directional Accuracy,Mean Fit Seconds,Parameters
Linear Regression,2,0.06724045066428055,0.009438891838446695,0.05032523840717738,-0.364788557115331,0.5147205588822356,0.12843961715698243,{'fit_intercept': False}
Linear Regression,1,0.06724045066428055,0.009438891838446714,0.0503252384071774,-0.3647885571153312,0.5147205588822356,0.12359671592712403,{'fit_intercept': True}
Ridge Regression,6,0.06030291643040253,0.008311155211202216,0.04460123359203018,-0.07828437226169047,0.5285429141716567,0.10612788200378417,{'alpha': 1000}
Ridge Regression,5,0.06483266726711487,0.010178072910251749,0.04857994432832726,-0.2568595302692894,0.5226047904191617,0.10347294807434082,{'alpha': 100}
Ridge Regression,4,0.0664666663488513,0.010186386108611,0.04992206198501411,-0.33371740423024127,0.5152694610778443,0.10371870994567871,{'alpha': 10}
Ridge Regression,3,0.06651299087864451,0.00970273221307556,0.04984439980254972,-0.33403923277187064,0.5144710578842315,0.10407886505126954,{'alpha': 1}
Ridge Regression,2,0.06691522496145116,0.009570796802625577,0.05009764282655238,-0.35032572628787223,0.5140718562874251,0.10062408447265625,{'alpha': 0.1}
Ridge Regression,1,0.06718947252813891,0.009458306930009817,0.050289339015305176,-0.36246912286104194,0.5147205588822356,0.1122802734375,{'alpha': 0.01}
Random Forest,18,0.058315780735861744,0.006734088173175283,0.04290711306514759,-0.01227340003472106,0.5427644710578842,2.565346670150757,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,3,0.05832279299938956,0.006669686910296944,0.04294778728619367,-0.012744639173360306,0.544311377245509,1.8506736755371094,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 3}"
Random Forest,21,0.058442632843205,0.006838000510147558,0.04300977110670014,-0.01634537847500852,0.5429640718562874,8.48741307258606,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,4,0.05860490302579143,0.006694843552237852,0.04316150486853091,-0.022665983238330044,0.5408183632734531,6.556281900405883,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.9, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,22,0.05865410294737833,0.006609774040792047,0.043185037519887684,-0.024888084866378123,0.5413173652694611,8.038924837112427,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': 5}"
Random Forest,12,0.05866414829031076,0.006825316787160974,0.04319609569046938,-0.024246568982909777,0.5367265469061876,10.28498034477234,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'log2', 'max_depth': None}"
Random Forest,28,0.05868756150140834,0.006839488206394331,0.04323205886914495,-0.025048812324573854,0.542315369261477,9.526343059539794,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 75, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 7}"
Random Forest,8,0.058745268784686555,0.0068084813085818735,0.04325243938860697,-0.027181238747653637,0.5383233532934131,12.172384452819824,"{'n_estimators': 350, 'min_samples_split': 20, 'min_samples_leaf': 75, 'max_samples': 0.8, 'max_features': 'log2', 'max_depth': None}"
Random Forest,11,0.05885096202420044,0.006766752732212027,0.043367693698058124,-0.03113594249390501,0.5416167664670659,7.452112102508545,"{'n_estimators': 350, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 5}"
Random Forest,17,0.05899096149637408,0.006663355899544408,0.04358665385589655,-0.03672767761201119,0.5405189620758484,7.916522026062012,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_samples': 0.8, 'max_features': 0.3, 'max_depth': 3}"
Random Forest,24,0.05995228063760558,0.006822140434145205,0.04428806390561172,-0.07172211565866937,0.5349800399201596,4.806912851333618,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 'log2', 'max_depth': 12}"
Random Forest,20,0.06011229123023683,0.007078617913588434,0.04460764913348836,-0.07905955940744314,0.5403193612774452,13.33606505393982,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 3}"
Random Forest,23,0.060698830645058856,0.007656331472814442,0.04503827150546454,-0.09736807054227388,0.5383732534930139,9.915245485305785,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 75, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
Random Forest,10,0.060942931176961125,0.0071085346493951415,0.04509927711094276,-0.11166218765354392,0.5358782435129741,14.68657832145691,"{'n_estimators': 350, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_samples': 0.6, 'max_features': 'sqrt', 'max_depth': 12}"
Random Forest,9,0.06095315380494719,0.007729885656173084,0.04529554454918904,-0.11377032309321566,0.5404191616766466,14.54064064025879,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 30, 'max_samples': 1.0, 'max_features': 0.3, 'max_depth': 5}"
Random Forest,1,0.06192912909749391,0.007750360824087283,0.04605878008092096,-0.1460016415950843,0.5304890219560878,68.79483528137207,"{'n_estimators': 350, 'min_samples_split': 15, 'min_samples_leaf': 75, 'max_samples': 0.9, 'max_features': 0.5, 'max_depth': None}"
Random Forest,5,0.06244977564951153,0.0075040518728548555,0.04635951253154773,-0.17148561647465996,0.5268463073852294,52.566546773910524,"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_features': 'sqrt', 'max_depth': None}"
Random Forest,27,0.06288415149085727,0.009860061924510203,0.046908631237971433,-0.19898486529928622,0.5364770459081836,10.16217360496521,"{'n_estimators': 150, 'min_samples_split': 20, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 5}"
Random Forest,13,0.0630850009616879,0.00879163104246849,0.046816361866060294,-0.2014783264062509,0.5358283433133733,47.55810136795044,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 0.9, 'max_features': 0.3, 'max_depth': 9}"
Random Forest,16,0.06359889537339411,0.0103785984171457,0.04743168271381553,-0.23165694361598796,0.5256487025948104,68.2825161933899,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_samples': 1.0, 'max_features': 1.0, 'max_depth': 5}"
Random Forest,2,0.06376071719771928,0.010544237684121143,0.04768947200680486,-0.23858693579051188,0.5258483033932135,97.2183030128479,"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 30, 'max_samples': 0.8, 'max_features': 0.7, 'max_depth': 9}"
Random Forest,15,0.06377277235361245,0.010208501836153792,0.047402787727283194,-0.23605433391628913,0.535129740518962,115.74823603630065,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_samples': 1.0, 'max_features': 0.7, 'max_depth': 9}"
Random Forest,6,0.0638668640224172,0.010698841165984957,0.047538069787800216,-0.242443468705492,0.5281437125748504,28.053094148635864,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_samples': 0.6, 'max_features': 1.0, 'max_depth': 7}"
Random Forest,29,0.06397763899480999,0.010147999201134279,0.04753701759241831,-0.2451309595831966,0.5312375249500997,53.192244386672975,"{'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_samples': 0.6, 'max_features': 0.5, 'max_depth': 12}"
Random Forest,25,0.06402496182391812,0.00976651457862957,0.0476866319313652,-0.24455264500983764,0.5279940119760479,213.3853714466095,"{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_samples': 1.0, 'max_features': 1.0, 'max_depth': 12}"
Random Forest,14,0.06427214534799348,0.01098442478899087,0.047851854530300934,-0.26221689574679524,0.5285928143712575,74.64352378845214,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.7, 'max_depth': 7}"
Random Forest,19,0.06434362975490851,0.010812230393203233,0.048054658505990486,-0.26283222451880695,0.5283433133732535,59.288941621780396,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': None}"
Random Forest,7,0.0644697309838271,0.012032612944732601,0.048178883313445185,-0.2759366192046864,0.531686626746507,19.688527250289916,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.7, 'max_depth': 7}"
Random Forest,26,0.06462806166107213,0.010521299537214165,0.04805565807835037,-0.27566224646336923,0.5313373253493013,59.61001358032227,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_samples': 0.7, 'max_features': 0.7, 'max_depth': 12}"
Random Forest,30,0.06532165409128092,0.010165487827863428,0.048722231534696826,-0.30036038967290973,0.5286926147704591,122.36748514175414,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_samples': 0.9, 'max_features': 0.7, 'max_depth': None}"
XGBoost,25,0.059177708930121496,0.007045457738235452,0.043829202953643856,-0.04244552211752219,0.5424151696606787,0.7140907287597656,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}"
XGBoost,1,0.05936520962881048,0.007086890343468178,0.04399692860935088,-0.049424395664866894,0.5359281437125748,0.7196675777435303,"{'subsample': 0.9, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}"
XGBoost,2,0.05987755620126793,0.00718600996439974,0.04438177397107106,-0.06921549486538656,0.542315369261477,0.6437741279602051,"{'subsample': 0.6, 'reg_lambda': 5.0, 'n_estimators': 250, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.6}"
XGBoost,14,0.06022529553381602,0.007580221955238003,0.04479256248021154,-0.0818535658758609,0.5403193612774452,0.41328887939453124,"{'subsample': 1.0, 'reg_lambda': 0.5, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 1.0}"
