Fold,Model,Fit Seconds,Directional Accuracy,RMSE,MAE,R2
1,Training Mean Baseline,0.0,0.5386726546906188,0.05398479806020277,0.039780467943377126,-0.007184039503489892
2,Training Mean Baseline,0.0,0.5718562874251497,0.06618877293971885,0.04549527237942166,-0.0002890749777890722
3,Training Mean Baseline,0.0,0.5765968063872255,0.04980951988175782,0.03701509575755171,-0.002436358000154515
4,Training Mean Baseline,0.0,0.49975049900199603,0.06475548963660155,0.04991414351720108,-0.010000304422717265
5,Training Mean Baseline,0.0,0.5414171656686627,0.0559019536991847,0.0417255577811422,-0.0020687228478251107
1,Linear Regression Tuned,0.04242706298828125,0.4930139720558882,0.07325981321821388,0.058680936423167775,-0.8548017067460514
2,Linear Regression Tuned,0.08383035659790039,0.5661177644710579,0.07922209743270664,0.055006052289024596,-0.4330110472333204
3,Linear Regression Tuned,0.12198758125305176,0.5219560878243513,0.0574470018760698,0.04244747434738264,-0.3334196013022699
4,Linear Regression Tuned,0.15662479400634766,0.49550898203592814,0.06798354916525828,0.05239659275007956,-0.1132071548826965
5,Linear Regression Tuned,0.21165060997009277,0.49700598802395207,0.058289791629154125,0.043095136226232345,-0.08950327541231684
1,Ridge Regression Tuned,0.04581046104431152,0.5214570858283433,0.055094379069124365,0.04147201361683971,-0.04901200496401725
2,Ridge Regression Tuned,0.06983780860900879,0.5663672654690619,0.07125291430743433,0.049150325819650155,-0.15921002934347106
3,Ridge Regression Tuned,0.1037750244140625,0.5553892215568862,0.05102623220047186,0.03843198956778499,-0.05200814167537904
4,Ridge Regression Tuned,0.12217521667480469,0.5042415169660679,0.06636960465174996,0.05116486213731007,-0.06097898753920994
5,Ridge Regression Tuned,0.14839458465576172,0.49525948103792417,0.05777145192323211,0.042786976818565976,-0.07021269778637507
1,Random Forest Tuned,0.8902511596679688,0.5339321357285429,0.055367764795021396,0.04044161699421175,-0.05944851213484248
2,Random Forest Tuned,1.49350905418396,0.5718562874251497,0.06574649132523457,0.04525306695120611,0.013034373392741272
3,Random Forest Tuned,3.190798282623291,0.5726047904191617,0.04970503293008627,0.036958925521786284,0.0017649135558842621
4,Random Forest Tuned,3.844940423965454,0.4935129740518962,0.06455234413497696,0.04968853675130962,-0.003673267516697054
5,Random Forest Tuned,3.392146348953247,0.5419161676646707,0.05620727049398954,0.04219341910722423,-0.013044507470691302
1,XGBoost Tuned,0.28508543968200684,0.5386726546906188,0.05451383052276813,0.04010631742445611,-0.027020877364759555
2,XGBoost Tuned,0.45670056343078613,0.5718562874251497,0.06603583301962013,0.045385103550566394,0.004328245364109695
3,XGBoost Tuned,0.6864461898803711,0.5693612774451098,0.049913407003590586,0.03709450401388541,-0.006622257816764732
4,XGBoost Tuned,0.8517796993255615,0.4907684630738523,0.06579073423426529,0.05070468450128917,-0.04255214939429708
5,XGBoost Tuned,0.9865262508392334,0.5414171656686627,0.05963473987036336,0.04585540527802219,-0.1403605713758993
1,LightGBM Tuned,0.28134703636169434,0.5299401197604791,0.055833988237815886,0.04083187275784313,-0.07736577286323665
2,LightGBM Tuned,0.4240732192993164,0.5718562874251497,0.06664236246249837,0.045647098134932645,-0.014045949154443127
3,LightGBM Tuned,0.5344126224517822,0.5511477045908184,0.04976187039791899,0.037057602251561766,-0.0005193458279817431
4,LightGBM Tuned,2.2271289825439453,0.500748502994012,0.06555765115069676,0.05055712009574929,-0.03517813781820878
5,LightGBM Tuned,2.4598419666290283,0.5409181636726547,0.064964407891256,0.050587236928258214,-0.3533013141019332
1,CatBoost Tuned,1.0162572860717773,0.529441117764471,0.05541571279432522,0.04050465105642848,-0.06128425292051265
2,CatBoost Tuned,1.2655093669891357,0.5718562874251497,0.06636454299229902,0.04545088433326714,-0.005608838717000131
3,CatBoost Tuned,1.5009212493896484,0.5688622754491018,0.049691376770171256,0.036963330037014436,0.0023133564199825374
4,CatBoost Tuned,1.6978800296783447,0.4907684630738523,0.06696372108696647,0.05172279453164159,-0.0800589976272228
5,CatBoost Tuned,1.9066057205200195,0.5376746506986028,0.059693065100372186,0.04582149349479621,-0.14259230135069156
