ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
ADI,2015-01-31,quarterly,2015-02-17,False,771986000.0,268379000.0,503607000.0,151706000.0,23760000.0,0.57,0.57,178757000.0,168653000.0,46271000.0,-131280000.0,80969000.0,367238000.0,,,4806210000.0,0.6523525038018824,0.0,0.0
ADI,2015-05-02,quarterly,2015-05-19,True,821019000.0,276197000.0,544822000.0,154233000.0,49229000.0,0.66,0.65,205338000.0,344031000.0,-268561000.0,-89488000.0,-13986000.0,394494000.0,,374664000.0,4964208000.0,0.6635924381774356,374664000.0,0.07547306639850708
ADI,2015-08-01,quarterly,2015-08-18,True,863365000.0,294328000.0,569037000.0,160784000.0,35164000.0,0.69,0.68,216478000.0,197139000.0,-147419000.0,-127930000.0,-78719000.0,424475000.0,,374752000.0,5065161000.0,0.6590920410255222,374752000.0,0.07398619708238297
ADI,2015-10-31,quarterly,2016-02-17,True,978722000.0,336926000.0,641796000.0,170736000.0,45807000.0,0.31,0.3,96305000.0,197975000.0,352584000.0,-222905000.0,326856000.0,412314000.0,,374594000.0,5072959000.0,0.6557490278138225,374594000.0,0.07384132219479794
ADI,2016-01-30,quarterly,2016-02-17,False,769429000.0,292136000.0,477293000.0,157428000.0,23128000.0,0.53,0.52,164504000.0,219705000.0,-204365000.0,571781000.0,586089000.0,404852000.0,,0.0,4994862000.0,0.6203210432671501,0.0,0.0
ADI,2016-04-30,quarterly,2016-05-18,True,778766000.0,267863000.0,510903000.0,160235000.0,25517000.0,0.55,0.55,170573000.0,320203000.0,-345212000.0,-326669000.0,-350780000.0,399459000.0,,0.0,4873701000.0,0.6560417378262533,0.0,0.0
ADI,2016-07-30,quarterly,2016-08-17,True,869591000.0,297301000.0,572290000.0,163227000.0,37528000.0,0.75,0.74,230430000.0,254003000.0,-111764000.0,-156662000.0,-15992000.0,392303000.0,,0.0,4983333000.0,0.6581139869202878,0.0,0.0
ADI,2016-10-29,quarterly,2017-05-31,True,1003623000.0,336936000.0,666687000.0,172926000.0,41224000.0,0.96,0.95,296157000.0,486984000.0,-556929000.0,-111367000.0,-182538000.0,376555000.0,,0.0,5165618000.0,0.6642803124280731,0.0,0.0
ADI,2017-01-28,quarterly,2017-02-15,False,984449000.0,335945000.0,648504000.0,183954000.0,28337000.0,0.7,0.69,217129000.0,314492000.0,1769754000.0,1982551000.0,4066131000.0,365586000.0,,,5306431000.0,0.6587481931517021,0.0,0.0
ADI,2017-04-29,quarterly,2017-05-31,True,1147982000.0,507539000.0,640443000.0,235232000.0,46929000.0,0.27,0.27,93564000.0,521464000.0,-8800803000.0,8989125000.0,710480000.0,647858000.0,,4321169000.0,9966595000.0,0.5578859250406365,4321169000.0,0.43356522463288616
ADI,2017-07-29,quarterly,2017-08-30,True,1433902000.0,667278000.0,766624000.0,275670000.0,63617000.0,0.18,0.18,68916000.0,-364283000.0,426071000.0,-4852958000.0,-4789174000.0,519695000.0,,,9922900000.0,0.5346418374477475,0.0,0.0
ADI,2017-10-28,quarterly,2018-02-28,True,1541170000.0,535145000.0,1006025000.0,273746000.0,65215000.0,0.94,0.93,347650000.0,640919000.0,-13036000.0,-490140000.0,139269000.0,550816000.0,,300000000.0,10161540000.0,0.6527670536021335,300000000.0,0.029523084099457364
ADI,2018-02-03,quarterly,2018-02-28,False,1518624000.0,483434000.0,1035190000.0,288597000.0,63222000.0,0.72,0.71,268172000.0,388688000.0,-64500000.0,-548026000.0,-220288000.0,559720000.0,,50000000.0,10347779000.0,0.681663137155741,50000000.0,0.004831954760533637
ADI,2018-05-05,quarterly,2018-05-30,True,1513053000.0,479241000.0,1033812000.0,289472000.0,53900000.0,1.02,1.01,379831000.0,718494000.0,-105990000.0,-630145000.0,-21033000.0,551220000.0,,56000000.0,10585355000.0,0.6832622518841045,56000000.0,0.005290328005059821
ADI,2018-08-04,quarterly,2018-08-22,True,1572679000.0,502033000.0,1070646000.0,291642000.0,51750000.0,1.11,1.1,414464000.0,620738000.0,-54489000.0,-599125000.0,-33942000.0,563645000.0,,22500000.0,10856217000.0,0.6807784678246482,22500000.0,0.0020725451600681895
ADI,2018-11-03,quarterly,2018-11-27,True,1596586000.0,502932000.0,1093654000.0,295699000.0,86004000.0,1.16,1.15,432965000.0,714441000.0,-89019000.0,-580746000.0,44016000.0,586760000.0,,67000000.0,10988540000.0,0.6849953588469396,67000000.0,0.0060972613286205445
ADI,2019-02-02,quarterly,2019-02-20,False,1541101000.0,501445000.0,1039656000.0,287382000.0,90993000.0,0.96,0.95,355006000.0,371767000.0,-96215000.0,-486149000.0,-210727000.0,593211000.0,,0.0,11585437000.0,0.6746189899299267,0.0,0.0
ADI,2019-05-04,quarterly,2019-05-22,True,1526602000.0,492510000.0,1034092000.0,285846000.0,75209000.0,0.99,0.98,367937000.0,670882000.0,-74572000.0,-488920000.0,107737000.0,608085000.0,,374165000.0,11742258000.0,0.677381531008082,374165000.0,0.03186482531724307
ADI,2019-08-03,quarterly,2019-08-21,True,1480143000.0,482332000.0,997811000.0,280102000.0,58095000.0,0.98,0.97,362374000.0,552547000.0,-58642000.0,-594615000.0,-101437000.0,638305000.0,,411434000.0,11790237000.0,0.6741314859442635,411434000.0,0.03489616027226594
ADI,2019-11-02,quarterly,2020-02-19,True,1443219000.0,501028000.0,942191000.0,277018000.0,51075000.0,0.75,0.74,277694000.0,657904000.0,-63757000.0,-557110000.0,36158000.0,609886000.0,,299667000.0,11709188000.0,0.6528399362813266,299667000.0,0.025592466360605023
ADI,2020-02-01,quarterly,2020-02-19,False,1303565000.0,455423000.0,848142000.0,257073000.0,54839000.0,0.55,0.55,203874000.0,349648000.0,-54732000.0,-289572000.0,6086000.0,588503000.0,,748460000.0,11689517000.0,0.6506326880516123,748460000.0,0.06402830844080214
ADI,2020-05-02,quarterly,2020-05-20,True,1317060000.0,470386000.0,846674000.0,252413000.0,60161000.0,0.73,0.72,267696000.0,429041000.0,-61552000.0,-235710000.0,130529000.0,590268000.0,,448945000.0,11590858000.0,0.6428515025891,448945000.0,0.03873268053150164
ADI,2020-08-01,quarterly,2020-08-19,True,1456136000.0,483558000.0,972578000.0,260794000.0,20804000.0,0.98,0.97,362665000.0,557200000.0,-33497000.0,-219160000.0,305327000.0,612646000.0,,449324000.0,11777560000.0,0.6679170077520231,449324000.0,0.038150856374325415
ADI,2020-10-31,quarterly,2022-11-22,True,1526295000.0,503211000.0,1023084000.0,280239000.0,29888000.0,1.0500000000000003,1.0399999999999996,386526000.0,672598000.0,-30742000.0,-676166000.0,-34404000.0,608260000.0,,0.0,11997945000.0,0.6703055438168899,0.0,0.0
ADI,2021-01-30,quarterly,2021-02-17,False,1558458000.0,513087000.0,1045371000.0,288150000.0,67388000.0,1.05,1.04,388519000.0,427941000.0,-75071000.0,-363823000.0,-7797000.0,618640000.0,,399220000.0,12087746000.0,0.6707726483485599,399220000.0,0.03302683560690306
ADI,2021-05-01,quarterly,2021-05-19,True,1661407000.0,524770000.0,1136637000.0,302238000.0,59170000.0,1.15,1.14,422905000.0,736362000.0,-60697000.0,-419585000.0,257153000.0,641202000.0,,1324451000.0,12167104000.0,0.6841412128394788,1324451000.0,0.10885507348338602
