ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
AMD,2015-03-28,quarterly,2015-04-29,False,1030000000.0,704000000.0,326000000.0,242000000.0,22000000.0,-0.23,-0.23,-180000000.0,-173000000.0,-15000000.0,60000000.0,-128000000.0,688000000.0,2025000000.0,235000000.0,17000000.0,0.31650485436893205,2260000000.0,132.94117647058823
AMD,2015-06-27,quarterly,2015-07-30,True,942000000.0,710000000.0,232000000.0,235000000.0,17000000.0,-0.23,-0.23,-181000000.0,-58000000.0,211000000.0,-1000000.0,152000000.0,799000000.0,2025000000.0,235000000.0,-141000000.0,0.24628450106157113,2260000000.0,-16.02836879432624
AMD,2015-09-26,quarterly,2015-11-03,True,1061000000.0,822000000.0,239000000.0,241000000.0,25000000.0,-0.25,-0.25,-197000000.0,-59000000.0,-17000000.0,2000000.0,-74000000.0,761000000.0,2025000000.0,230000000.0,-336000000.0,0.22525918944392084,2255000000.0,-6.711309523809524
AMD,2015-12-26,quarterly,2016-02-18,True,958000000.0,675000000.0,283000000.0,229000000.0,32000000.0,-0.13,-0.13,-102000000.0,64000000.0,-32000000.0,-2000000.0,30000000.0,678000000.0,2025000000.0,230000000.0,-412000000.0,0.2954070981210856,2255000000.0,-5.473300970873787
AMD,2016-03-26,quarterly,2016-04-28,False,832000000.0,563000000.0,269000000.0,242000000.0,26000000.0,-0.14,-0.14,-109000000.0,-42000000.0,-26000000.0,-1000000.0,-69000000.0,675000000.0,2002000000.0,230000000.0,-503000000.0,0.3233173076923077,2232000000.0,-4.437375745526839
AMD,2016-06-25,quarterly,2016-07-26,True,1027000000.0,708000000.0,319000000.0,243000000.0,21000000.0,0.09,0.08,69000000.0,-85000000.0,329000000.0,-3000000.0,241000000.0,743000000.0,2002000000.0,226000000.0,-413000000.0,0.31061343719571566,2228000000.0,-5.394673123486683
AMD,2016-09-24,quarterly,2016-10-26,True,1307000000.0,1248000000.0,59000000.0,259000000.0,9000000.0,-0.5,-0.5,-406000000.0,29000000.0,-10000000.0,282000000.0,301000000.0,772000000.0,1630000000.0,0.0,385000000.0,0.045141545524101,1630000000.0,4.233766233766234
AMD,2016-12-31,quarterly,2018-02-27,True,1106000000.0,755000000.0,351000000.0,264000000.0,21000000.0,-0.06,-0.06,-51000000.0,188000000.0,-26000000.0,-156000000.0,6000000.0,751000000.0,1435000000.0,0.0,416000000.0,0.31735985533453887,1435000000.0,3.449519230769231
AMD,2017-04-01,quarterly,2017-05-08,False,984000000.0,653000000.0,331000000.0,266000000.0,23000000.0,-0.08,-0.08,-73000000.0,-299000000.0,-246000000.0,3000000.0,-542000000.0,839000000.0,1408000000.0,,409000000.0,0.3363821138211382,1408000000.0,3.4425427872860634
AMD,2017-07-01,quarterly,2017-08-03,True,1222000000.0,818000000.0,404000000.0,279000000.0,12000000.0,-0.02,-0.02,-16000000.0,-82000000.0,124000000.0,-4000000.0,38000000.0,833000000.0,1375000000.0,42000000.0,417000000.0,0.33060556464811786,1417000000.0,3.3980815347721824
