ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
AVGO,2015-02-01,quarterly,2016-03-10,False,1635000000.0,809000000.0,826000000.0,235000000.0,162000000.0,0.13799999999999998,0.126,351000000.0,481000000.0,514000000.0,-30000000.0,965000000.0,,,,,0.5051987767584097,,
AVGO,2015-05-03,quarterly,2016-06-09,True,1614000000.0,768000000.0,846000000.0,251000000.0,177000000.0,0.133,0.121,344000000.0,663000000.0,-149000000.0,-575000000.0,-61000000.0,,,,,0.5241635687732342,,
AVGO,2015-08-02,quarterly,2016-09-08,True,1735000000.0,851000000.0,884000000.0,276000000.0,148000000.0,0.091,0.08399999999999999,240000000.0,592000000.0,-542000000.0,-1204000000.0,-1154000000.0,,,,,0.5095100864553314,,
AVGO,2015-11-01,quarterly,2016-12-23,True,1840000000.0,843000000.0,997000000.0,287000000.0,106000000.0,0.149,0.15500000000000003,429000000.0,582000000.0,-64000000.0,-50000000.0,468000000.0,524000000.0,3903000000.0,46000000.0,4714000000.0,0.5418478260869565,3949000000.0,0.8377174374204497
AVGO,2016-01-31,quarterly,2016-03-10,False,1771000000.0,830000000.0,941000000.0,267000000.0,140000000.0,0.136,0.13,377000000.0,474000000.0,-85000000.0,-42000000.0,347000000.0,490000000.0,3892000000.0,46000000.0,5121000000.0,0.5313382269904009,3938000000.0,0.7689904315563366
AVGO,2016-05-01,quarterly,2016-06-09,True,3541000000.0,2495000000.0,1046000000.0,787000000.0,158000000.0,-0.302,-0.302,-1186000000.0,622000000.0,-10207000000.0,9457000000.0,-128000000.0,1467000000.0,14664000000.0,344000000.0,19702000000.0,0.2953967805704603,15008000000.0,0.7617500761344026
AVGO,2016-07-31,quarterly,2016-09-08,True,3792000000.0,2010000000.0,1782000000.0,814000000.0,232000000.0,-0.075,-0.075,-298000000.0,963000000.0,426000000.0,-1469000000.0,-80000000.0,1306000000.0,13381000000.0,334000000.0,19473000000.0,0.4699367088607595,13715000000.0,0.7043085297591537
AVGO,2016-10-30,quarterly,2016-12-23,True,4136000000.0,1965000000.0,2171000000.0,806000000.0,193000000.0,-0.159,-0.16400000000000003,-632000000.0,1352000000.0,26000000.0,-242000000.0,1136000000.0,1400000000.0,13188000000.0,454000000.0,18892000000.0,0.5249032882011605,13642000000.0,0.7221045945373703
AVGO,2017-01-29,quarterly,2017-03-09,False,4139000000.0,2138000000.0,2001000000.0,808000000.0,325000000.0,0.06,0.056999999999999995,239000000.0,1353000000.0,-319000000.0,-595000000.0,439000000.0,1336000000.0,13562000000.0,0.0,19033000000.0,0.4834501087219135,13562000000.0,0.7125518835706405
AVGO,2017-04-30,quarterly,2017-06-08,True,4190000000.0,2214000000.0,1976000000.0,829000000.0,256000000.0,0.10900000000000001,0.10500000000000001,440000000.0,1583000000.0,-493000000.0,-372000000.0,718000000.0,1311000000.0,13567000000.0,0.0,19425000000.0,0.47159904534606206,13567000000.0,0.6984298584298584
AVGO,2017-07-30,quarterly,2017-09-07,True,4463000000.0,2314000000.0,2149000000.0,827000000.0,255000000.0,0.118,0.11399999999999999,481000000.0,1656000000.0,-258000000.0,-403000000.0,995000000.0,1431000000.0,13572000000.0,0.0,19802000000.0,0.4815146762267533,13572000000.0,0.6853853146146854
AVGO,2017-10-29,quarterly,2018-12-21,True,4844000000.0,2461000000.0,2383000000.0,828000000.0,233000000.0,0.125,0.125,532000000.0,1959000000.0,396000000.0,3600000000.0,5955000000.0,1447000000.0,17431000000.0,117000000.0,20285000000.0,0.4919488026424443,17548000000.0,0.8650727138279517
AVGO,2018-02-04,quarterly,2018-03-15,False,5327000000.0,2699000000.0,2628000000.0,925000000.0,220000000.0,1.52,1.462,6230000000.0,1685000000.0,-4227000000.0,-1586000000.0,-4128000000.0,1291000000.0,17475000000.0,117000000.0,25901000000.0,0.4933358363056129,17592000000.0,0.6792015752287557
AVGO,2018-05-06,quarterly,2018-06-14,True,5014000000.0,2463000000.0,2551000000.0,936000000.0,189000000.0,0.883,0.833,3718000000.0,2313000000.0,-155000000.0,-1047000000.0,1111000000.0,1235000000.0,17481000000.0,117000000.0,32067000000.0,0.5087754287993618,17598000000.0,0.5487884741322855
AVGO,2018-08-05,quarterly,2018-09-13,True,5063000000.0,2444000000.0,2619000000.0,959000000.0,120000000.0,0.27799999999999997,0.271,1196000000.0,2247000000.0,-174000000.0,-6124000000.0,-4051000000.0,1216000000.0,17487000000.0,117000000.0,27452000000.0,0.5172822437290144,17604000000.0,0.6412647530234591
AVGO,2018-11-04,quarterly,2018-12-21,True,5444000000.0,2509000000.0,2935000000.0,948000000.0,106000000.0,0.2799999999999998,0.264,1115000000.0,2635000000.0,-118000000.0,-2361000000.0,156000000.0,1124000000.0,17493000000.0,0.0,26657000000.0,0.5391256429096253,17493000000.0,0.6562253817008665
AVGO,2019-02-03,quarterly,2019-03-15,False,5789000000.0,2581000000.0,3208000000.0,1133000000.0,99000000.0,0.11699999999999999,0.11200000000000002,471000000.0,2132000000.0,-15193000000.0,13862000000.0,801000000.0,1074000000.0,34104000000.0,3537000000.0,23224000000.0,0.5541544308170668,37641000000.0,1.6207802273510161
AVGO,2019-05-05,quarterly,2019-06-14,True,5517000000.0,2428000000.0,3089000000.0,1151000000.0,125000000.0,0.174,0.16399999999999998,691000000.0,2667000000.0,-106000000.0,-2326000000.0,235000000.0,1034000000.0,34011000000.0,3537000000.0,22172000000.0,0.5599057458763821,37548000000.0,1.6934872812556376
AVGO,2019-08-04,quarterly,2019-09-13,True,5515000000.0,2481000000.0,3034000000.0,1235000000.0,112000000.0,0.18,0.17099999999999999,715000000.0,2419000000.0,-35000000.0,-2250000000.0,134000000.0,1091000000.0,34028000000.0,3537000000.0,21503000000.0,0.5501359927470535,37565000000.0,1.746965539692136
AVGO,2019-11-03,quarterly,2019-12-20,True,5776000000.0,2624000000.0,3152000000.0,1177000000.0,96000000.0,0.2069999999999999,0.197,847000000.0,2479000000.0,-88000000.0,-2798000000.0,-407000000.0,874000000.0,30011000000.0,2787000000.0,24941000000.0,0.5457063711911357,32798000000.0,1.315023455354637
AVGO,2020-02-02,quarterly,2020-03-13,False,5858000000.0,2594000000.0,3264000000.0,1289000000.0,108000000.0,0.078,0.074,385000000.0,2322000000.0,-10987000000.0,10054000000.0,1389000000.0,944000000.0,42407000000.0,2311000000.0,24368000000.0,0.5571867531580744,44718000000.0,1.8351116217990808
AVGO,2020-05-03,quarterly,2020-06-12,True,5742000000.0,2553000000.0,3189000000.0,1269000000.0,148000000.0,0.122,0.11699999999999999,563000000.0,3213000000.0,24000000.0,-474000000.0,2763000000.0,953000000.0,45044000000.0,819000000.0,23942000000.0,0.5553814002089864,45863000000.0,1.9155876702029906
AVGO,2020-08-02,quarterly,2020-09-11,True,5821000000.0,2505000000.0,3316000000.0,1228000000.0,105000000.0,0.152,0.145,688000000.0,3178000000.0,-46000000.0,-3482000000.0,-350000000.0,1081000000.0,43201000000.0,822000000.0,23557000000.0,0.5696615701769455,44023000000.0,1.8687863480069618
AVGO,2020-11-01,quarterly,2020-12-18,True,6467000000.0,2720000000.0,3747000000.0,1182000000.0,102000000.0,0.31000000000000005,0.29300000000000004,1324000000.0,3348000000.0,-100000000.0,-4487000000.0,-1239000000.0,1003000000.0,40235000000.0,827000000.0,23874000000.0,0.5794031235503324,41062000000.0,1.7199463851889085
AVGO,2021-01-31,quarterly,2021-03-12,False,6655000000.0,2703000000.0,3952000000.0,1211000000.0,114000000.0,0.32,0.305,1378000000.0,3113000000.0,-122000000.0,-1057000000.0,1934000000.0,952000000.0,41068000000.0,864000000.0,23973000000.0,0.593839218632607,41932000000.0,1.749134442914946
AVGO,2021-05-02,quarterly,2021-06-11,True,6610000000.0,2553000000.0,4057000000.0,1238000000.0,126000000.0,0.346,0.32999999999999996,1493000000.0,3569000000.0,-126000000.0,-3477000000.0,-34000000.0,1004000000.0,40160000000.0,278000000.0,23939000000.0,0.613767019667171,40438000000.0,1.689210075608839
AVGO,2021-08-01,quarterly,2021-09-09,True,6778000000.0,2581000000.0,4197000000.0,1205000000.0,115000000.0,0.438,0.42000000000000004,1876000000.0,3541000000.0,-47000000.0,-1907000000.0,1587000000.0,1160000000.0,40178000000.0,279000000.0,24340000000.0,0.6192092062555326,40457000000.0,1.6621610517666392
AVGO,2021-10-31,quarterly,2021-12-17,True,7407000000.0,2769000000.0,4638000000.0,1200000000.0,88000000.0,0.46399999999999975,0.4460000000000002,1989000000.0,3541000000.0,50000000.0,-2533000000.0,1058000000.0,1297000000.0,39440000000.0,290000000.0,24962000000.0,0.6261644390441474,39730000000.0,1.5916192612771412
AVGO,2022-01-30,quarterly,2022-03-10,False,7706000000.0,2657000000.0,5049000000.0,1206000000.0,101000000.0,0.5820000000000001,0.5589999999999999,2472000000.0,3486000000.0,-309000000.0,-5121000000.0,-1944000000.0,1520000000.0,39205000000.0,300000000.0,22968000000.0,0.6552037373475215,39505000000.0,1.7200017415534656
AVGO,2022-05-01,quarterly,2022-06-09,True,8103000000.0,2664000000.0,5439000000.0,1261000000.0,85000000.0,0.616,0.593,2590000000.0,4243000000.0,-310000000.0,-5147000000.0,-1214000000.0,1668000000.0,40958000000.0,269000000.0,20963000000.0,0.6712328767123288,41227000000.0,1.9666555359442828
AVGO,2022-07-31,quarterly,2022-09-08,True,8464000000.0,2783000000.0,5681000000.0,1255000000.0,116000000.0,0.74,0.7150000000000001,3074000000.0,4424000000.0,80000000.0,-3532000000.0,972000000.0,1838000000.0,40958000000.0,269000000.0,20876000000.0,0.6711956521739131,41227000000.0,1.9748515041195631
AVGO,2022-10-30,quarterly,2022-12-16,True,8930000000.0,3004000000.0,5926000000.0,1197000000.0,122000000.0,0.8050000000000002,0.7830000000000001,3359000000.0,4583000000.0,-128000000.0,-2016000000.0,2439000000.0,1925000000.0,39075000000.0,403000000.0,22709000000.0,0.6636058230683091,39478000000.0,1.7384296974767712
AVGO,2023-01-29,quarterly,2023-03-08,False,8915000000.0,2911000000.0,6004000000.0,1195000000.0,103000000.0,0.9029999999999999,0.8800000000000001,3774000000.0,4036000000.0,-103000000.0,-3702000000.0,231000000.0,1899000000.0,38167000000.0,1077000000.0,23310000000.0,0.6734716769489624,39244000000.0,1.6835692835692835
AVGO,2023-04-30,quarterly,2023-06-07,True,8733000000.0,2618000000.0,6115000000.0,1312000000.0,122000000.0,0.8390000000000001,0.8150000000000001,3481000000.0,4502000000.0,-318000000.0,-5278000000.0,-1094000000.0,1886000000.0,38194000000.0,1077000000.0,22007000000.0,0.7002175655559373,39271000000.0,1.7844776661971191
AVGO,2023-07-30,quarterly,2023-09-06,True,8876000000.0,2712000000.0,6164000000.0,1358000000.0,122000000.0,0.8,0.774,3303000000.0,4719000000.0,-144000000.0,-4073000000.0,502000000.0,1842000000.0,38222000000.0,1077000000.0,22079000000.0,0.6944569625957638,39299000000.0,1.779926627111735
