ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
INTC,2015-03-28,quarterly,2015-04-27,False,12781000000.0,5051000000.0,7730000000.0,2995000000.0,2025000000.0,0.42,0.41,1992000000.0,4415000000.0,-449000000.0,-2274000000.0,1683000000.0,4418000000.0,12112000000.0,1121000000.0,54924000000.0,0.6048040059463266,13233000000.0,0.24093292549705048
INTC,2015-06-27,quarterly,2015-07-27,True,13195000000.0,4947000000.0,8248000000.0,3087000000.0,1767000000.0,0.57,0.55,2706000000.0,3440000000.0,-1295000000.0,-1945000000.0,210000000.0,4818000000.0,12116000000.0,1095000000.0,57695000000.0,0.6250852595680182,13211000000.0,0.22897998093422306
INTC,2015-09-26,quarterly,2015-10-28,True,14465000000.0,5354000000.0,9111000000.0,2927000000.0,1206000000.0,0.65,0.64,3109000000.0,5735000000.0,-9167000000.0,6043000000.0,2611000000.0,4965000000.0,20059000000.0,1096000000.0,57097000000.0,0.6298651918423781,21155000000.0,0.37050983414189886
INTC,2015-12-26,quarterly,2016-02-12,True,14914000000.0,5324000000.0,9590000000.0,3119000000.0,2328000000.0,0.7700000000000002,0.74,3613000000.0,5427000000.0,2728000000.0,88000000.0,8243000000.0,5167000000.0,20036000000.0,2602000000.0,61085000000.0,0.6430199812256939,22638000000.0,0.3705983465662601
INTC,2016-04-02,quarterly,2016-05-02,False,13702000000.0,5572000000.0,8130000000.0,3246000000.0,1346000000.0,0.43,0.42,2046000000.0,4055000000.0,-15520000000.0,-782000000.0,-12247000000.0,5751000000.0,21775000000.0,2606000000.0,61174000000.0,0.5933440373668077,24381000000.0,0.3985516722790728
INTC,2016-07-02,quarterly,2016-08-01,True,13533000000.0,5560000000.0,7973000000.0,3145000000.0,2286000000.0,0.28,0.27,1330000000.0,3845000000.0,-4170000000.0,1149000000.0,824000000.0,5800000000.0,24053000000.0,3111000000.0,61367000000.0,0.5891524421783788,27164000000.0,0.4426483289064155
INTC,2016-10-01,quarterly,2016-10-31,True,15778000000.0,5795000000.0,9983000000.0,3069000000.0,2463000000.0,0.71,0.69,3378000000.0,5758000000.0,-2683000000.0,-2208000000.0,867000000.0,5783000000.0,24043000000.0,3115000000.0,63115000000.0,0.6327164406135125,27158000000.0,0.4302939079458132
INTC,2016-12-31,quarterly,2017-02-17,True,16374000000.0,6269000000.0,10105000000.0,3280000000.0,3530000000.0,0.7500000000000002,0.7300000000000002,3562000000.0,8150000000.0,-3444000000.0,-3898000000.0,808000000.0,5553000000.0,20649000000.0,4618000000.0,66226000000.0,0.6171369243923293,25267000000.0,0.3815268927611512
INTC,2017-04-01,quarterly,2017-04-27,False,14796000000.0,5649000000.0,9147000000.0,3326000000.0,1952000000.0,0.63,0.61,2964000000.0,3898000000.0,-2778000000.0,-1746000000.0,-626000000.0,5801000000.0,20678000000.0,5073000000.0,66844000000.0,0.6182076236820763,25751000000.0,0.38524026090599006
INTC,2017-07-01,quarterly,2017-07-27,True,14763000000.0,5665000000.0,9098000000.0,3275000000.0,2778000000.0,0.6,0.58,2808000000.0,4707000000.0,-1438000000.0,3484000000.0,6753000000.0,6324000000.0,27855000000.0,4125000000.0,68625000000.0,0.61627040574409,31980000000.0,0.4660109289617486
INTC,2017-09-30,quarterly,2017-10-26,True,16149000000.0,6092000000.0,10057000000.0,3223000000.0,2979000000.0,0.96,0.94,4516000000.0,6264000000.0,-6316000000.0,-2560000000.0,-2612000000.0,6929000000.0,27498000000.0,4129000000.0,70936000000.0,0.6227630193820051,31627000000.0,0.4458525995263336
INTC,2017-12-30,quarterly,2018-02-16,True,17053000000.0,6286000000.0,10767000000.0,3274000000.0,4069000000.0,-0.1499999999999999,-0.13000000000000012,-687000000.0,7241000000.0,-5230000000.0,-7653000000.0,-5642000000.0,6983000000.0,25037000000.0,1739000000.0,69019000000.0,0.6313845071248461,26776000000.0,0.3879511438879149
INTC,2018-03-31,quarterly,2018-04-27,False,16066000000.0,6335000000.0,9731000000.0,3311000000.0,2910000000.0,0.95,0.93,4454000000.0,6284000000.0,-4791000000.0,-1372000000.0,121000000.0,7146000000.0,24770000000.0,3842000000.0,70165000000.0,0.6056890327399477,28612000000.0,0.4077816575215563
INTC,2018-06-30,quarterly,2018-07-27,True,16962000000.0,6543000000.0,10419000000.0,3371000000.0,4530000000.0,1.08,1.05,5006000000.0,7413000000.0,-1193000000.0,-7160000000.0,-940000000.0,7344000000.0,24632000000.0,3510000000.0,70047000000.0,0.6142553944110364,28142000000.0,0.40175881907861866
INTC,2018-09-29,quarterly,2018-10-26,True,19163000000.0,6803000000.0,12360000000.0,3428000000.0,3851000000.0,1.4,1.38,6398000000.0,8835000000.0,-3435000000.0,-4607000000.0,793000000.0,7401000000.0,24823000000.0,3051000000.0,71483000000.0,0.6449929551740333,27874000000.0,0.3899388665836632
INTC,2018-12-29,quarterly,2019-02-01,True,18657000000.0,7430000000.0,11227000000.0,3433000000.0,3890000000.0,1.1500000000000004,1.1300000000000003,5195000000.0,6900000000.0,-1820000000.0,-5468000000.0,-388000000.0,7253000000.0,25098000000.0,761000000.0,74563000000.0,0.6017580532775901,25859000000.0,0.34680739777101244
INTC,2019-03-30,quarterly,2019-04-26,False,16061000000.0,6972000000.0,9089000000.0,3332000000.0,3321000000.0,0.88,0.87,3974000000.0,4959000000.0,-2722000000.0,-2102000000.0,135000000.0,7765000000.0,25737000000.0,2750000000.0,73661000000.0,0.5659049872361621,28487000000.0,0.3867311060126797
INTC,2019-06-29,quarterly,2019-07-26,True,16505000000.0,6627000000.0,9878000000.0,3438000000.0,3554000000.0,0.94,0.92,4179000000.0,7587000000.0,-3288000000.0,-4586000000.0,-287000000.0,8696000000.0,25089000000.0,3726000000.0,74947000000.0,0.598485307482581,28815000000.0,0.3844716933299532
INTC,2019-09-28,quarterly,2019-10-25,True,19190000000.0,7895000000.0,11295000000.0,3208000000.0,4672000000.0,1.36,1.35,5990000000.0,10711000000.0,-3910000000.0,-5733000000.0,1068000000.0,8638000000.0,23707000000.0,5200000000.0,74242000000.0,0.5885878061490359,28907000000.0,0.3893618167614019
INTC,2019-12-28,quarterly,2020-01-24,True,20209000000.0,8331000000.0,11878000000.0,3384000000.0,4666000000.0,1.5899999999999994,1.5699999999999998,6905000000.0,9888000000.0,-4485000000.0,-5144000000.0,259000000.0,8744000000.0,25308000000.0,3695000000.0,77504000000.0,0.587757929635311,29003000000.0,0.3742129438480595
INTC,2020-03-28,quarterly,2020-04-24,False,19828000000.0,7812000000.0,12016000000.0,3275000000.0,3268000000.0,1.33,1.31,5661000000.0,6158000000.0,-3736000000.0,4764000000.0,7186000000.0,9246000000.0,36455000000.0,3464000000.0,76354000000.0,0.6060117006253782,39919000000.0,0.522814783770333
