ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
MCHP,2015-03-31,quarterly,2015-05-27,False,543207000.0,,313632000.0,,,,0.225,99402000.0,,,,,279456000.0,,0.0,2044654000.0,0.5773710574421905,0.0,0.0
MCHP,2015-06-30,quarterly,2015-08-06,False,533952000.0,224935000.0,309017000.0,84680000.0,1766000.0,0.325,0.3,130667000.0,181528000.0,-187189000.0,-38607000.0,-44268000.0,303690000.0,,,2098882000.0,0.578735541771545,0.0,0.0
MCHP,2015-09-30,quarterly,2015-11-09,True,541391000.0,240441000.0,300950000.0,95256000.0,1215000.0,0.16,0.15,64899000.0,149886000.0,-540680000.0,366325000.0,-24469000.0,363760000.0,,,2129381000.0,0.5558829016367098,0.0,0.0
MCHP,2015-12-31,quarterly,2016-02-05,True,540344000.0,247626000.0,292718000.0,97022000.0,2980000.0,0.15,0.14,61211000.0,210477000.0,-53908000.0,-364196000.0,-207627000.0,319524000.0,,,2126344000.0,0.5417252713086478,0.0,0.0
MCHP,2016-03-31,quarterly,2017-05-30,True,557647000.0,254868000.0,302779000.0,95638000.0,1095000.0,0.16500000000000004,0.155,67355000.0,202592000.0,1582174000.0,-23466000.0,1761300000.0,306815000.0,2453405000.0,0.0,2150919000.0,0.5429581796369388,2453405000.0,1.1406310511925368
MCHP,2016-06-30,quarterly,2016-08-09,False,799411000.0,450921000.0,348490000.0,147883000.0,765000.0,-0.265,-0.265,-113363000.0,223967000.0,-2295729000.0,580015000.0,-1492225000.0,518431000.0,,,2532549000.0,0.43593345600698513,0.0,0.0
MCHP,2016-09-30,quarterly,2016-11-08,True,871364000.0,460743000.0,410621000.0,137795000.0,2467000.0,0.08,0.07,33919000.0,222123000.0,-20591000.0,-312174000.0,-110538000.0,424690000.0,,,2519512000.0,0.4712393442923967,0.0,0.0
MCHP,2016-12-31,quarterly,2017-02-08,True,834366000.0,369107000.0,465259000.0,132433000.0,6365000.0,0.25,0.23,107175000.0,290802000.0,-34176000.0,-82043000.0,173950000.0,419618000.0,,,2566898000.0,0.55761979754688,0.0,0.0
MCHP,2017-03-31,quarterly,2017-05-30,True,902666000.0,369840000.0,532826000.0,127182000.0,621000.0,0.315,0.285,136908000.0,322560000.0,-487477000.0,409663000.0,244746000.0,417202000.0,2900524000.0,49952000.0,-14378000.0,0.5902803473266967,2950476000.0,-205.2076783975518
MCHP,2017-06-30,quarterly,2017-08-04,False,972141000.0,387702000.0,584439000.0,130480000.0,1933000.0,0.37,0.35,170587000.0,344992000.0,-391272000.0,-89368000.0,-135648000.0,426843000.0,2983908000.0,11256000.0,3412554000.0,0.6011874820627872,2995164000.0,0.8776898475452696
