ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
MPWR,2015-03-31,quarterly,2015-05-06,False,73538000.0,33855000.0,39683000.0,16038000.0,4703000.0,0.15,0.15,5963000.0,15681000.0,-32107000.0,-13851000.0,-30300000.0,53396000.0,,,345452000.0,0.5396257717098643,0.0,0.0
MPWR,2015-06-30,quarterly,2015-08-03,True,81416000.0,37287000.0,44129000.0,15743000.0,1952000.0,0.2,0.19,7899000.0,7668000.0,-15024000.0,-7821000.0,-15098000.0,64964000.0,,,354762000.0,0.5420187678097671,0.0,0.0
MPWR,2015-09-30,quarterly,2015-10-28,True,91194000.0,41754000.0,49440000.0,17272000.0,1755000.0,0.28,0.28,11201000.0,22050000.0,-6360000.0,-18742000.0,-4252000.0,67309000.0,,,354113000.0,0.5421409303243634,0.0,0.0
MPWR,2015-12-31,quarterly,2016-02-29,True,86918000.0,40001000.0,46917000.0,16734000.0,7614000.0,0.26,0.24,10110000.0,24337000.0,-3706000.0,-6238000.0,14244000.0,63209000.0,,,368516000.0,0.5397846245886928,0.0,0.0
MPWR,2016-03-31,quarterly,2016-05-06,False,84512000.0,39002000.0,45510000.0,17321000.0,5346000.0,0.26,0.25,10575000.0,28870000.0,-35826000.0,-6225000.0,-13052000.0,62318000.0,,,381986000.0,0.5385034078000758,0.0,0.0
MPWR,2016-06-30,quarterly,2016-07-29,True,94079000.0,43153000.0,50926000.0,17876000.0,13332000.0,0.28,0.27,11198000.0,14998000.0,-2560000.0,-7719000.0,4238000.0,69919000.0,,,395140000.0,0.5413110258399856,0.0,0.0
MPWR,2016-09-30,quarterly,2016-11-03,True,106456000.0,48531000.0,57925000.0,20472000.0,10358000.0,0.35,0.34,14373000.0,32919000.0,714000.0,-6108000.0,27433000.0,70692000.0,,,416298000.0,0.5441215149921094,0.0,0.0
MPWR,2016-12-31,quarterly,2017-03-01,True,103618000.0,47107000.0,56511000.0,17974000.0,8076000.0,0.41,0.39,16573000.0,30999000.0,-18054000.0,-8075000.0,3224000.0,71469000.0,,,431116000.0,0.5453782161400529,0.0,0.0
MPWR,2017-03-31,quarterly,2017-05-05,False,100362000.0,45520000.0,54842000.0,18894000.0,3424000.0,0.35,0.33,14477000.0,21892000.0,-51243000.0,-6986000.0,-35877000.0,78535000.0,,,451128000.0,0.5464418803929775,0.0,0.0
MPWR,2017-06-30,quarterly,2017-07-31,True,112198000.0,50773000.0,61425000.0,20292000.0,17104000.0,0.36,0.35,15014000.0,24878000.0,-22468000.0,-8568000.0,-5716000.0,92666000.0,,,473793000.0,0.5474696518654522,0.0,0.0
MPWR,2017-09-30,quarterly,2017-11-06,True,128939000.0,58083000.0,70856000.0,21442000.0,4580000.0,0.57,0.54,23642000.0,33678000.0,5883000.0,-7130000.0,33314000.0,99887000.0,,,505523000.0,0.5495311736557597,0.0,0.0
MPWR,2017-12-31,quarterly,2018-03-01,True,129430000.0,58269000.0,71161000.0,21730000.0,40665000.0,0.29,0.27,12071000.0,53373000.0,-66232000.0,-8641000.0,-21665000.0,99281000.0,,,522007000.0,0.5498029823070385,0.0,0.0
MPWR,2018-03-31,quarterly,2018-05-08,False,129150000.0,57655000.0,71495000.0,21609000.0,7400000.0,0.52,0.49,21856000.0,16292000.0,-25202000.0,1033000.0,-6740000.0,111897000.0,,,558306000.0,0.5535811072396438,0.0,0.0
