ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
MU,2015-03-05,quarterly,2015-04-10,False,4166000000.0,2761000000.0,1405000000.0,379000000.0,,0.87,0.78,934000000.0,,,,,2377000000.0,5519000000.0,1199000000.0,12426000000.0,0.3372539606337014,6718000000.0,0.5406405923064542
MU,2015-06-04,quarterly,2015-07-10,True,3853000000.0,2651000000.0,1202000000.0,406000000.0,734000000.0,0.46,0.42,491000000.0,1335000000.0,-1520000000.0,359000000.0,147000000.0,2381000000.0,6403000000.0,1148000000.0,12458000000.0,0.31196470282896444,7551000000.0,0.606116551613421
MU,2015-09-03,quarterly,2015-10-27,True,3600000000.0,2630000000.0,970000000.0,379000000.0,1765000000.0,0.44,0.42,471000000.0,1030000000.0,-1510000000.0,-933000000.0,-1407000000.0,2340000000.0,6252000000.0,1089000000.0,12302000000.0,0.26944444444444443,7341000000.0,0.5967322386603804
MU,2015-12-03,quarterly,2016-01-08,False,3350000000.0,2501000000.0,849000000.0,421000000.0,990000000.0,0.2,0.19,206000000.0,1120000000.0,-660000000.0,-140000000.0,318000000.0,2435000000.0,6326000000.0,1051000000.0,12301000000.0,0.25343283582089554,7377000000.0,0.5997073408665962
MU,2016-03-03,quarterly,2016-04-08,True,2934000000.0,2355000000.0,579000000.0,403000000.0,1219000000.0,-0.09,-0.09,-97000000.0,763000000.0,-366000000.0,72000000.0,473000000.0,2608000000.0,6494000000.0,1125000000.0,12264000000.0,0.19734151329243355,7619000000.0,0.621249184605349
MU,2016-06-02,quarterly,2016-07-06,True,2898000000.0,2400000000.0,498000000.0,382000000.0,1685000000.0,-0.21,-0.21,-215000000.0,389000000.0,-616000000.0,1771000000.0,1549000000.0,2920000000.0,8919000000.0,712000000.0,12187000000.0,0.17184265010351968,9631000000.0,0.7902683187002544
MU,2016-09-01,quarterly,2016-10-28,True,3217000000.0,2638000000.0,579000000.0,411000000.0,1923000000.0,-0.16,-0.16,-170000000.0,896000000.0,-1426000000.0,42000000.0,-487000000.0,2889000000.0,9154000000.0,756000000.0,12080000000.0,0.1799813490829966,9910000000.0,0.820364238410596
MU,2016-12-01,quarterly,2017-01-09,False,3970000000.0,2959000000.0,1011000000.0,470000000.0,1264000000.0,0.17,0.16,180000000.0,1138000000.0,-890000000.0,-212000000.0,-1000000.0,2750000000.0,8490000000.0,1155000000.0,12320000000.0,0.25465994962216626,9645000000.0,0.7828733766233766
MU,2017-03-02,quarterly,2017-03-28,True,4648000000.0,2944000000.0,1704000000.0,473000000.0,1164000000.0,0.81,0.77,894000000.0,1405000000.0,-4476000000.0,2553000000.0,-506000000.0,3000000000.0,11308000000.0,1117000000.0,14287000000.0,0.36660929432013767,12425000000.0,0.869671729544341
MU,2017-06-01,quarterly,2017-06-30,True,5566000000.0,2957000000.0,2609000000.0,434000000.0,1041000000.0,1.49,1.4,1647000000.0,2407000000.0,-873000000.0,-1134000000.0,415000000.0,3064000000.0,10485000000.0,1161000000.0,16171000000.0,0.4687387711103126,11646000000.0,0.7201780965926659
MU,2017-08-31,quarterly,2017-10-26,True,6138000000.0,3026000000.0,3112000000.0,447000000.0,1265000000.0,2.13,1.99,2368000000.0,3203000000.0,-1298000000.0,-858000000.0,1045000000.0,3123000000.0,9872000000.0,1262000000.0,18621000000.0,0.5070055392636038,11134000000.0,0.5979270715858439
MU,2017-11-30,quarterly,2017-12-20,False,6803000000.0,3056000000.0,3747000000.0,448000000.0,1956000000.0,2.36,2.19,2678000000.0,3636000000.0,-1434000000.0,-1282000000.0,914000000.0,3160000000.0,7644000000.0,1401000000.0,22526000000.0,0.550786417756872,9045000000.0,0.4015360028411613
