ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
ON,2015-04-03,quarterly,2015-05-04,False,870800000.0,570400000.0,300400000.0,100400000.0,64800000.0,0.13,0.13,55100000.0,83500000.0,-54200000.0,-113200000.0,-83600000.0,746900000.0,950200000.0,212600000.0,1605600000.0,0.3449701423977951,1162800000.0,0.7242152466367713
ON,2015-07-03,quarterly,2015-08-03,True,880500000.0,576100000.0,304400000.0,100400000.0,75500000.0,0.12,0.12,50700000.0,101600000.0,-72500000.0,120700000.0,148500000.0,743000000.0,822300000.0,555900000.0,1597400000.0,0.34571266325951167,1378200000.0,0.8627770126455491
ON,2015-10-02,quarterly,2015-10-30,True,904200000.0,595700000.0,308500000.0,104900000.0,64500000.0,0.11,0.11,46300000.0,128300000.0,-71700000.0,-77200000.0,-19800000.0,754000000.0,868400000.0,539300000.0,1558300000.0,0.34118557841185576,1407700000.0,0.9033562215234551
ON,2015-12-31,quarterly,2016-02-24,True,840300000.0,560400000.0,279900000.0,91000000.0,66000000.0,0.13,0.13,54100000.0,157200000.0,-66100000.0,-30100000.0,60800000.0,750400000.0,850500000.0,543400000.0,1608200000.0,0.3330953230988932,1393900000.0,0.8667454296729262
ON,2016-04-01,quarterly,2016-05-09,False,817200000.0,541700000.0,275500000.0,98000000.0,72900000.0,0.09,0.09,36000000.0,114900000.0,-70800000.0,-44500000.0,1900000.0,759700000.0,835100000.0,525400000.0,1654000000.0,0.33712677435144395,1360500000.0,0.8225513905683193
ON,2016-07-01,quarterly,2016-08-08,True,877800000.0,569900000.0,307900000.0,103000000.0,52000000.0,0.06,0.06,25100000.0,104200000.0,-118200000.0,-21500000.0,-31400000.0,750200000.0,2935100000.0,536700000.0,1700900000.0,0.3507632718159034,3471800000.0,2.0411546828149802
ON,2016-09-30,quarterly,2016-11-07,True,950900000.0,621900000.0,329000000.0,111500000.0,35900000.0,0.02,0.02,10100000.0,132700000.0,-2185800000.0,2345300000.0,292400000.0,1083100000.0,3095700000.0,540600000.0,1730600000.0,0.34598801135766116,3636300000.0,2.101178781925344
ON,2016-12-31,quarterly,2017-02-28,True,1261000000.0,876500000.0,384500000.0,139800000.0,49900000.0,0.27,0.26,110900000.0,229400000.0,-59800000.0,-14600000.0,147600000.0,1030200000.0,3068500000.0,553800000.0,1823200000.0,0.3049167327517843,3622300000.0,1.9867814831066257
ON,2017-03-31,quarterly,2017-05-08,False,1436700000.0,933400000.0,503300000.0,140000000.0,52700000.0,0.19,0.18,78200000.0,208500000.0,-55100000.0,-454900000.0,-299200000.0,1011400000.0,2986800000.0,272800000.0,1976000000.0,0.3503166979884457,3259600000.0,1.6495951417004049
ON,2017-06-30,quarterly,2017-08-07,True,1338000000.0,845900000.0,492100000.0,145500000.0,69000000.0,0.22,0.22,93900000.0,333200000.0,-65800000.0,-124600000.0,142700000.0,1002000000.0,2872300000.0,268200000.0,2096500000.0,0.3677877428998505,3140500000.0,1.4979728118292392
ON,2017-09-29,quarterly,2017-11-06,True,1390900000.0,866700000.0,524200000.0,150900000.0,90100000.0,0.26,0.25,108700000.0,328200000.0,-73000000.0,-225800000.0,29600000.0,1029000000.0,2684400000.0,258500000.0,2212400000.0,0.3768782802501977,2942900000.0,1.3301844151148075
ON,2017-12-31,quarterly,2018-02-21,True,1377500000.0,863300000.0,514200000.0,158000000.0,175700000.0,1.25,1.22,529900000.0,224300000.0,-170600000.0,-5600000.0,48000000.0,1089500000.0,2703700000.0,248100000.0,2778800000.0,0.37328493647912886,2951800000.0,1.062257089391104
