ticker,period_end,freq,filed_date,has_derived_flows,revenue_usd,cost_of_revenue_usd,gross_profit_usd,rd_expense_usd,capex_usd,eps_basic,eps_diluted,net_income_usd,operating_cf_usd,investing_cf_usd,financing_cf_usd,net_change_in_cash_usd,inventory_usd,lt_debt_noncurrent_usd,lt_debt_current_usd,stockholders_equity_usd,gross_margin,total_debt_usd,debt_to_equity
QCOM,2015-03-29,quarterly,2015-04-22,False,6894000000.0,2628000000.0,4266000000.0,1375000000.0,,0.64,0.63,1053000000.0,,,,,1861000000.0,,1096000000.0,37839000000.0,0.618798955613577,1096000000.0,0.028964824651814266
QCOM,2015-06-28,quarterly,2015-07-22,True,5832000000.0,2451000000.0,3381000000.0,1407000000.0,366000000.0,0.74,0.73,1184000000.0,2116000000.0,-1530000000.0,3904000000.0,4495000000.0,1583000000.0,9913000000.0,1000000000.0,33202000000.0,0.5797325102880658,10913000000.0,0.32868501897476055
QCOM,2015-09-27,quarterly,2015-11-04,True,5456000000.0,2252000000.0,3204000000.0,1357000000.0,179000000.0,0.68,0.67,1061000000.0,1684000000.0,-1352000000.0,-2749000000.0,-2427000000.0,1492000000.0,9969000000.0,1000000000.0,31421000000.0,0.5872434017595308,10969000000.0,0.3490977371821393
QCOM,2015-12-27,quarterly,2016-01-27,False,5775000000.0,2534000000.0,3241000000.0,1352000000.0,128000000.0,1.0,0.99,1498000000.0,2739000000.0,-716000000.0,-2665000000.0,-647000000.0,1216000000.0,9950000000.0,1000000000.0,30241000000.0,0.5612121212121212,10950000000.0,0.3620912006878079
QCOM,2016-03-27,quarterly,2016-04-20,True,5551000000.0,2141000000.0,3410000000.0,1301000000.0,125000000.0,0.78,0.78,1164000000.0,737000000.0,-719000000.0,-1157000000.0,-1138000000.0,1427000000.0,9993000000.0,1949000000.0,29645000000.0,0.6143037290578274,11942000000.0,0.4028335301062574
QCOM,2016-06-26,quarterly,2016-07-20,True,6044000000.0,2534000000.0,3510000000.0,1268000000.0,136000000.0,0.98,0.97,1444000000.0,1840000000.0,-794000000.0,-943000000.0,110000000.0,1338000000.0,10024000000.0,1749000000.0,30647000000.0,0.5807412309728657,11773000000.0,0.38414853003556626
QCOM,2016-09-25,quarterly,2017-07-19,True,6184000000.0,2539000000.0,3645000000.0,1229000000.0,150000000.0,1.08,1.07,1599000000.0,2084000000.0,-1259000000.0,-757000000.0,61000000.0,1556000000.0,10008000000.0,1749000000.0,31778000000.0,0.589424320827943,11757000000.0,0.36997293725218705
QCOM,2016-12-25,quarterly,2017-01-25,False,5999000000.0,2443000000.0,3556000000.0,1311000000.0,129000000.0,0.46,0.46,682000000.0,1379000000.0,681000000.0,-1104000000.0,939000000.0,1910000000.0,9935000000.0,,31215000000.0,0.5927654609101517,9935000000.0,0.31827646964600353
QCOM,2017-03-26,quarterly,2017-04-19,True,5016000000.0,2208000000.0,2808000000.0,1386000000.0,122000000.0,0.51,0.5,749000000.0,815000000.0,79000000.0,-666000000.0,239000000.0,2066000000.0,9939000000.0,,31344000000.0,0.5598086124401914,9939000000.0,0.31709418070444106
QCOM,2017-06-25,quarterly,2017-07-19,True,5371000000.0,2488000000.0,2883000000.0,1391000000.0,177000000.0,0.59,0.58,866000000.0,82000000.0,-1102000000.0,8771000000.0,7785000000.0,2002000000.0,19403000000.0,1496000000.0,31294000000.0,0.5367715509216161,20899000000.0,0.6678276986003707
QCOM,2017-09-24,quarterly,2017-11-01,True,5905000000.0,2652000000.0,3253000000.0,1398000000.0,262000000.0,0.11,0.11,168000000.0,2417000000.0,18805000000.0,-1122000000.0,20120000000.0,2035000000.0,19398000000.0,1496000000.0,30746000000.0,0.5508890770533447,20894000000.0,0.6795680738957913
